95132,3451 Sagewood Ln,2.5,3,San Jose,"1,629 sqft",12-Mar-14,"$680,000 ",37.414658,-121.86059,CA,Single-Family Home,680000,"$748,000 ",,Berryessa,,,Sold,SANTA CLARA
95129,1179 Huntingdon Dr,2,3,San Jose,"1,324 sqft",12-Mar-14,"$1,310,500 ",37.303047,-122.003975,CA,Single-Family Home,1310500,"$1,351,000 ",,West San Jose,,,Sold,SANTA CLARA
95126,732 Northrup St #121,2,2,San Jose,990 sqft,12-Mar-14,"$397,000 ",37.3152,-121.907906,CA,Condo,397000,"$440,000 ",,Downtown San Jose,,,Sold,SANTA CLARA
95121,1230 Wentworth Way,2,4,San Jose,"1,771 sqft",12-Mar-14,"$620,000 ",37.291798,-121.81059,CA,Single-Family Home,620000,"$658,000 ",,Evergreen,,,Sold,SANTA CLARA
95124,5207 Elrose Ave,2,3,San Jose,"1,392 sqft",12-Mar-14,"$910,000 ",37.24332,-121.91422,CA,Single-Family Home,910000,"$948,000 ",,Cambrian Park,,,Sold,SANTA CLARA
95124,1842 Rosswood Dr,2.5,4,San Jose,"1,565 sqft",12-Mar-14,"$1,062,000 ",37.248047,-121.91953,CA,Single-Family Home,1062000,"$943,000 ",,Cambrian Park,,,Sold,SANTA CLARA
95122,2696 Ophelia Ave,2.5,4,San Jose,"1,343 sqft",12-Mar-14,"$451,000 ",37.318066,-121.8179,CA,Single-Family Home,451000,"$501,000 ",,Evergreen,,,Sold,SANTA CLARA
95124,3744 Sorci Dr,2,3,San Jose,"1,313 sqft",12-Mar-14,"$710,000 ",37.26383,-121.90339,CA,Single-Family Home,710000,"$798,000 ",,Cambrian Park,,,Sold,SANTA CLARA
95124,5103 Camden Ave,2,4,San Jose,"1,370 sqft",12-Mar-14,"$775,000 ",37.245605,-121.90814,CA,Single-Family Home,775000,"$768,000 ",,Cambrian Park,,,Sold,SANTA CLARA
95134,4248 Cosenza Loop,2.5,4,San Jose,"1,477 sqft",12-Mar-14,"$675,000 ",37.415073,-121.96058,CA,Condo,675000,"$699,000 ",,North San Jose,,,Sold,SANTA CLARA
95124,3199 Cyrus Ave,2,3,San Jose,"1,248 sqft",12-Mar-14,"$765,000 ",37.26567,-121.91567,CA,Single-Family Home,765000,"$798,000 ",,Willow Glen,,,Sold,SANTA CLARA
95133,1650 Lorient Ter,2.5,3,San Jose,"1,778 sqft",12-Mar-14,"$650,000 ",37.366848,-121.870865,CA,Condo,650000,"$665,000 ",,Alum Rock,,,Sold,SANTA CLARA
95133,592 Messina Gardens Ln,3,3,San Jose,"1,522 sqft",12-Mar-14,"$596,500 ",37.376095,-121.85072,CA,Condo,596500,"$665,000 ",,Alum Rock,,,Sold,SANTA CLARA
95116,423 Coyote Creek Cir,2,2,San Jose,849 sqft,12-Mar-14,"$320,000 ",37.352562,-121.872696,CA,Condo,320000,"$342,000 ",,Downtown San Jose,,,Sold,SANTA CLARA
95133,584 Messina Gardens Ln,3,3,San Jose,"1,522 sqft",12-Mar-14,"$620,500 ",37.376026,-121.85064,CA,Condo,620500,"$665,000 ",,Alum Rock,,,Sold,SANTA CLARA
95135,6342 Skywalker Dr,4,5,San Jose,"3,036 sqft",12-Mar-14,"$1,350,000 ",37.277214,-121.738464,CA,Single-Family Home,1350000,"$1,545,000 ",,Evergreen,,,Sold,SANTA CLARA
95135,2700 Andare Ct,3,4,San Jose,"2,695 sqft",12-Mar-14,"$1,090,000 ",37.291393,-121.76505,CA,Single-Family Home,1090000,"$1,279,000 ",,Evergreen,,,Sold,SANTA CLARA
95135,5441 Cribari Grn,2,2,San Jose,"1,240 sqft",12-Mar-14,"$314,000 ",37.29434,-121.75533,CA,Condo,314000,"$339,000 ",,Evergreen,,,Sold,SANTA CLARA
95139,130 Avenida Espana,2,4,San Jose,"1,457 sqft",12-Mar-14,"$630,000 ",37.22616,-121.76638,CA,Single-Family Home,630000,"$664,000 ",,Edenvale,,,Sold,SANTA CLARA
95120,7104 Sheehan Ct,3,4,San Jose,"3,184 sqft",12-Mar-14,"$1,480,000 ",37.20529,-121.84032,CA,Single-Family Home,1480000,"$1,695,000 ",,Almaden Valley,,,Sold,SANTA CLARA
95135,7518 Deveron Ct,2,2,San Jose,"1,307 sqft",12-Mar-14,"$433,500 ",37.289005,-121.74343,CA,Condo,433500,"$503,000 ",,Evergreen,,,Sold,SANTA CLARA
95120,6007 Monteverde Dr,2.5,4,San Jose,"2,129 sqft",12-Mar-14,"$1,030,000 ",37.228954,-121.89548,CA,Single-Family Home,1030000,"$1,202,000 ",,Almaden Valley,,,Sold,SANTA CLARA
95125,1994 Kocher Dr,,,San Jose,,12-Mar-14,"$1,460,000 ",37.287533,-121.91432,CA,Single-Family Home,1460000,"$1,761,000 ",,Willow Glen,,,Sold,SANTA CLARA
95123,5963 Lake Hennessy Ct,2,2,San Jose,982 sqft,12-Mar-14,"$470,000 ",37.243073,-121.86508,CA,Condo,470000,"$500,000 ",,Edenvale,,,Sold,SANTA CLARA
95118,1537 Treviso Ave,2.5,3,San Jose,"1,573 sqft",12-Mar-14,"$905,500 ",37.23947,-121.89276,CA,Single-Family Home,905500,"$882,000 ",,Cambrian Park,,,Sold,SANTA CLARA
95127,196 S Cragmont Ave,1,3,San Jose,"1,143 sqft",12-Mar-14,"$470,000 ",37.370808,-121.819115,CA,Single-Family Home,470000,"$489,000 ",,Alum Rock,,,Sold,SANTA CLARA
95126,122 Sunol St,3,3,San Jose,"1,463 sqft",11-Mar-14,"$620,000 ",37.328262,-121.906136,CA,Condo,620000,"$659,000 ",,Downtown San Jose,,,Sold,SANTA CLARA
95120,6571 American Ct,2,3,San Jose,"1,354 sqft",11-Mar-14,"$700,000 ",37.218857,-121.86052,CA,Condo,700000,"$671,000 ",,Almaden Valley,,,Sold,SANTA CLARA
95135,3223 Foxboro Pl,2,3,San Jose,"1,829 sqft",11-Mar-14,"$931,000 ",37.31119,-121.784065,CA,Single-Family Home,931000,"$901,000 ",,Evergreen,,,Sold,SANTA CLARA
95124,1895 Camden Ave,,,San Jose,"2,208 sqft",11-Mar-14,"$750,000 ",37.26207,-121.92387,CA,Multi-Family,750000,"$874,000 ",,Willow Glen,,,Sold,SANTA CLARA
95111,3149 Kenland Dr,2,3,San Jose,"1,094 sqft",11-Mar-14,"$322,000 ",37.287075,-121.84255,CA,Condo,322000,"$358,000 ",,South San Jose,,,Sold,SANTA CLARA
95123,294 Tradewinds Dr #10,1,2,San Jose,959 sqft,11-Mar-14,"$310,000 ",37.252495,-121.82783,CA,Condo,310000,"$341,000 ",,Edenvale,,,Sold,SANTA CLARA
95132,2732 Peridot Dr,2,3,San Jose,"1,284 sqft",11-Mar-14,"$595,000 ",37.39193,-121.85867,CA,Single-Family Home,595000,"$715,000 ",,Berryessa,,,Sold,SANTA CLARA
95117,1373 Phelps Ave #1,2,3,San Jose,"1,107 sqft",11-Mar-14,"$450,000 ",37.299297,-121.96151,CA,Condo,450000,"$507,000 ",,West San Jose,,,Sold,SANTA CLARA
