94611,6912 Colton Blvd,2.5,3,Oakland,"1,914 sqft",4-Mar-14,"$805,000 ",37.83629,-122.19972,CA,Single-Family Home,805000,"$932,000 ",,Montclair,,,Sold,ALAMEDA
94612,151 Lakeside Dr,2,3,Oakland,"1,061 sqft",4-Mar-14,"$620,000 ",37.80476,-122.26239,CA,Condo,620000,"$499,000 ",,Lakeside,,,Sold,ALAMEDA
94607,1920 Union St,2,2,Oakland,"1,531 sqft",4-Mar-14,"$440,000 ",37.814003,-122.28656,CA,Condo,440000,"$477,000 ",,Ralph Bunche,,,Sold,ALAMEDA
94611,6201 Westwood Way,3,3,Oakland,"3,108 sqft",4-Mar-14,"$1,795,000 ",37.839157,-122.20828,CA,Single-Family Home,1795000,"$1,752,000 ",,Merriwood,,,Sold,ALAMEDA
94621,1642 80th Ave,2,3,Oakland,"1,591 sqft",4-Mar-14,"$120,000 ",37.75837,-122.17741,CA,Single-Family Home,120000,"$258,000 ",,Arroyo Viejo,,,Sold,ALAMEDA
94601,1871 38th Ave,3,6,Oakland,"3,282 sqft",4-Mar-14,"$450,000 ",37.778812,-122.21751,CA,Multi-Family,450000,,,Saint Elizabeth,,,Sold,ALAMEDA
94607,5 Embarcadero W #123,1,1,Oakland,668 sqft,4-Mar-14,"$189,000 ",37.79192,-122.26851,CA,Condo,189000,"$243,000 ",,Produce and Waterfront,,,Sold,ALAMEDA
94612,426 27th St #102B,1.5,2,Oakland,"1,685 sqft",4-Mar-14,"$377,500 ",37.816284,-122.266045,CA,Condo,377500,"$472,000 ",,Pill Hill,,,Sold,ALAMEDA
94607,864 Mead Ave,4,3,Oakland,"1,588 sqft",4-Mar-14,"$410,000 ",37.816357,-122.27698,CA,Multi-Family,410000,"$373,000 ",,McClymonds,,,Sold,ALAMEDA
94602,3144 Pleitner Ave,1,2,Oakland,"1,240 sqft",4-Mar-14,"$366,000 ",37.79377,-122.21125,CA,Single-Family Home,366000,"$486,000 ",,Upper Peralta Creek,,,Sold,ALAMEDA
94605,2569 67th Ave,1,2,Oakland,"1,131 sqft",4-Mar-14,"$281,000 ",37.767136,-122.18424,CA,Single-Family Home,281000,"$300,000 ",,Havenscourt,,,Sold,ALAMEDA
94619,4343 Terrabella Pl,2.5,3,Oakland,"1,725 sqft",3-Mar-14,"$650,000 ",37.796463,-122.18018,CA,Single-Family Home,650000,"$637,000 ",,Crestmont,,,Sold,ALAMEDA
94607,311 2nd St,,,Oakland,"128,993 sqft",3-Mar-14,"$200,000 ",37.79445,-122.27333,CA,Multi-Family,200000,,,Produce and Waterfront,,,Sold,ALAMEDA
94607,311 Oak St #302,2,2,Oakland,"1,673 sqft",3-Mar-14,"$526,500 ",37.794064,-122.26798,CA,Condo,526500,"$564,000 ",,Produce and Waterfront,,,Sold,ALAMEDA
94611,70 Yosemite Ave #201,1,2,Oakland,947 sqft,3-Mar-14,"$370,000 ",37.82284,-122.25394,CA,Condo,370000,"$393,000 ",,Piedmont Avenue,,,Sold,ALAMEDA
94607,1201 Pine St #137,1.5,1,Oakland,"1,262 sqft",3-Mar-14,"$327,500 ",37.81227,-122.30067,CA,Condo,327500,"$390,000 ",,Prescott,,,Sold,ALAMEDA
94605,8010 Hansom Dr,2.5,4,Oakland,"2,004 sqft",3-Mar-14,"$710,000 ",37.773792,-122.136734,CA,Single-Family Home,710000,"$792,000 ",,Sequoyah,,,Sold,ALAMEDA
94608,6501 San Pablo Ave #410,1,1,Oakland,"1,106 sqft",28-Feb-14,"$395,000 ",37.84819,-122.28579,CA,Condo,395000,"$478,000 ",,Paradise Park,,,Sold,ALAMEDA
94605,9629 Thermal St,1,2,Oakland,"1,026 sqft",28-Feb-14,"$270,000 ",37.751606,-122.1591,CA,Single-Family Home,270000,"$302,000 ",,Toler Heights,,,Sold,ALAMEDA
94619,148 Samaria Ln,2,2,Oakland,"1,149 sqft",28-Feb-14,"$452,000 ",37.797638,-122.17729,CA,Townhouse,452000,"$521,000 ",,Crestmont,,,Sold,ALAMEDA
94607,1218 Adeline St,,,Oakland,"1,363 sqft",28-Feb-14,"$142,500 ",37.808525,-122.28614,CA,Single-Family Home,142500,"$308,000 ",,Oak Center,,,Sold,ALAMEDA
94601,1515 53rd Ave,1,2,Oakland,"1,656 sqft",28-Feb-14,"$350,000 ",37.769695,-122.20546,CA,Single-Family Home,350000,"$419,000 ",,Fremont,,,Sold,ALAMEDA
94621,1407 Havenscourt Blvd,2,2,Oakland,"1,727 sqft",28-Feb-14,"$275,000 ",37.762424,-122.1927,CA,Multi-Family,275000,"$240,000 ",,East 14th Street Business District,,,Sold,ALAMEDA
94607,5 Embarcadero W #120,1,1,Oakland,668 sqft,28-Feb-14,"$212,500 ",37.79192,-122.26851,CA,Condo,212500,"$256,000 ",,Produce and Waterfront,,,Sold,ALAMEDA
94619,6211 View Crest Dr,3,4,Oakland,"2,504 sqft",28-Feb-14,"$920,000 ",37.78435,-122.16596,CA,Single-Family Home,920000,"$996,000 ",,Caballo Hills,,,Sold,ALAMEDA
94610,3701 Park Boulevard Way,4,4,Oakland,"2,350 sqft",28-Feb-14,"$855,000 ",37.80531,-122.231224,CA,Multi-Family,855000,"$823,000 ",,Trestle Glen,,,Sold,ALAMEDA
